% Italian verb lexicon for enclitic splitting and clitic deprel assignment.
%
% Extracted from the gold annotation of UD_Italian-ISDT (train+dev) and
% UD_Italian-PoSTWITA (train): every lemma of a VERB/AUX token, with the
% argument frames actually observed for it.
%
%   Obj   the lemma governs an obj  in the gold data
%   Iobj  the lemma governs an iobj in the gold data
%   Refl  the lemma governs an expl* (reflexive, impersonal or passive si)
%   Freq  occurrences as VERB/AUX, as a rough confidence weight
%
% The three frames are recorded separately on purpose. A single valency label
% would have to be arbitrary for most verbs, since Italian verbs freely combine
% frames (dare qc a qn, darsi, darne): 'yes' here means attested, never
% exclusive. Rules should therefore test the frame they need rather than a
% summary label, and treat a lemma with several 'yes' values as undecided.
%
% Used by: italian-isdt-ud.grs (clitic deprel assignment)
%          childes.py --verb_lexicon (licenses the enclitic split)
lemma	Obj	Iobj	Refl	Freq
deliziare	no	no	yes	2
deludere	yes	yes	no	6
demolire	yes	no	no	2
denominare	no	no	no	2
denunciare	yes	no	yes	24
deplorare	yes	no	no	2
deporre	yes	no	no	5
depositare	yes	no	yes	8
deprimere	yes	yes	yes	4
derivare	yes	yes	yes	47
derogare	no	no	yes	9
derubare	no	no	no	3
descrivere	yes	no	no	19
desiderare	yes	no	yes	18
designare	yes	no	no	4
destare	yes	no	no	2
destinare	yes	no	yes	41
detenere	yes	no	no	11
deteriorare	yes	no	yes	5
determinare	yes	yes	yes	60
detestare	yes	no	no	2
dettare	yes	no	no	11
deviare	yes	no	no	2
dialogare	no	no	no	2
dichiarare	yes	yes	yes	55
difendere	yes	no	yes	47
differire	no	no	no	2
diffidare	no	no	no	3
diffondere	yes	no	yes	14
dilagare	no	no	no	3
dilaniare	yes	yes	no	2
dimensionare	yes	no	no	2
dimenticare	yes	yes	yes	32
dimettere	yes	no	yes	20
diminuire	yes	yes	no	17
dimostrare	yes	yes	yes	58
dipendere	no	no	no	25
dipingere	yes	no	no	23
diramare	no	no	no	2
dire	yes	yes	yes	592
dirigere	yes	no	yes	37
dirottare	no	no	no	3
disattivare	yes	no	yes	2
discendere	no	no	no	2
disciplinare	yes	no	no	25
discostare	no	no	yes	2
discriminare	yes	no	no	3
discutere	yes	yes	yes	46
disegnare	yes	yes	no	8
disfare	no	no	yes	2
disgiungere	no	no	no	2
dismettere	no	no	no	2
dispensare	no	no	no	4
disperdere	yes	no	no	3
dispiacere	no	yes	no	7
disporre	yes	yes	yes	64
disprezzare	yes	no	no	2
disputare	yes	no	yes	5
disseminare	yes	no	no	3
dissolvere	no	no	yes	2
distanziare	yes	no	no	2
distare	yes	no	no	10
distinguere	yes	no	yes	9
distogliere	yes	no	no	2
distrarre	yes	no	no	2
distribuire	yes	no	no	21
distruggere	yes	yes	yes	17
disturbare	yes	yes	no	5
divellere	no	no	no	3
divenire	yes	no	no	34
diventare	yes	no	yes	154
diversificare	yes	no	yes	3
divertire	yes	yes	yes	10
dividere	yes	no	yes	16
divorare	yes	no	no	4
divulgare	yes	no	no	3
documentare	yes	no	no	6
domandare	yes	yes	yes	17
domare	yes	yes	no	5
dominare	yes	no	no	10
donare	yes	yes	no	6
dormire	no	no	no	26
dotare	yes	no	yes	16
dovere	yes	yes	no	753
drammatizzare	yes	no	no	2
drogare	no	no	yes	4
dubitare	no	yes	no	5
durare	yes	no	no	35
durire	no	no	no	3
eccedere	yes	no	no	10
eccitare	yes	no	yes	4
educare	yes	no	no	4
effettuare	yes	no	yes	38
eguagliare	yes	no	no	2
elaborare	yes	yes	no	13
eleggere	yes	no	no	60
elencare	yes	no	no	13
elevare	yes	no	yes	6
eliminare	yes	yes	yes	27
elogiare	yes	no	no	2
eludere	yes	no	no	2
emanare	yes	no	no	9
emarginare	yes	no	no	3
emergere	no	yes	no	20
emettere	yes	no	no	11
emozionare	no	no	yes	2
entrare	yes	no	yes	96
entusiasmare	yes	yes	no	2
enunciare	no	no	no	5
equivalere	no	no	yes	4
ereditare	yes	no	no	6
ergere	no	no	yes	2
erigere	yes	no	no	7
erogare	yes	no	no	4
esagerare	no	no	yes	10
esaltare	yes	no	no	9
esaminare	yes	no	no	15
esaurire	yes	no	yes	11
escludere	yes	no	yes	29
escogitare	yes	no	no	2
eseguire	yes	no	yes	59
esercitare	yes	yes	yes	44
esibire	yes	no	yes	8
esigere	yes	no	no	12
esiliare	yes	no	no	3
esimere	no	no	yes	4
esistere	yes	yes	no	86
esitare	yes	no	no	4
esordire	no	no	no	3
espellere	yes	no	no	5
espirare	yes	no	no	2
esplodere	yes	no	no	13
esplorare	yes	no	no	3
esporre	yes	yes	no	16
esportare	yes	no	no	2
esprimere	yes	no	yes	37
espropriare	no	no	no	3
essere	yes	yes	yes	10053
estendere	yes	no	yes	25
estinguere	yes	no	yes	18
estrarre	yes	no	no	6
esultare	no	no	no	8
etichettare	yes	no	no	2
evacuare	yes	no	no	2
evadere	yes	no	no	6
evidenziare	yes	yes	yes	8
evitare	yes	yes	yes	59
evocare	yes	no	no	2
evolvere	no	no	yes	6
fabbricare	yes	no	yes	9
facilitare	yes	yes	no	7
falciare	no	no	no	2
fallire	yes	no	no	24
falsare	yes	no	no	2
fare	yes	yes	yes	1738
favorire	yes	yes	no	21
ferire	yes	yes	yes	15
fermare	yes	no	yes	29
festeggiare	yes	no	yes	12
ficcare	yes	yes	yes	2
fidare	no	yes	yes	19
figurare	yes	no	yes	11
filare	no	no	no	3
filmare	yes	no	no	2
finalizzare	yes	no	no	4
finanziare	yes	no	no	19
fingere	yes	no	yes	5
finire	yes	yes	yes	112
fiorire	no	no	no	3
firmare	yes	no	yes	37
fischiare	no	no	yes	6
fissare	yes	yes	no	23
flirtare	no	no	no	2
fluire	no	no	no	2
focalizzare	yes	no	no	4
folgorare	no	no	no	2
fondare	yes	yes	yes	50
fondere	yes	no	yes	3
formare	yes	no	yes	56
formulare	yes	no	no	16
fornire	yes	yes	no	52
fotografare	yes	no	no	5
fottere	yes	no	yes	2
frantumare	yes	no	no	4
freddare	no	no	no	2
fregare	yes	yes	yes	9
frenare	yes	no	no	10
frequentare	yes	no	yes	28
fronteggiare	yes	no	no	5
frullare	yes	no	no	2
fruttare	yes	yes	no	2
fucilare	yes	no	no	2
fuggire	no	no	no	12
fumare	yes	no	yes	9
fungere	no	no	no	5
funzionare	yes	no	no	28
galleggiare	no	no	no	3
garantire	yes	yes	yes	57
gareggiare	no	no	no	3
generare	yes	no	no	13
gestire	yes	no	no	20
gettare	yes	no	yes	6
giacere	no	no	no	2
giocare	yes	yes	yes	69
gioire	no	no	no	2
giovare	no	no	no	5
girare	yes	no	yes	26
giudicare	yes	no	yes	19
giungere	no	no	yes	28
giurare	yes	yes	no	14
giustificare	yes	no	no	8
godere	yes	yes	yes	27
governare	yes	no	yes	28
gradire	yes	no	no	10
grattare	yes	no	no	2
gravare	no	no	no	9
gridare	yes	yes	yes	12
guadagnare	yes	yes	no	15
guardare	yes	yes	yes	69
guarire	yes	no	no	2
guidare	yes	no	no	39
gustare	yes	no	no	2
ideare	yes	no	no	4
identificare	yes	no	yes	11
idratare	yes	no	no	2
ignorare	yes	no	yes	11
illudere	yes	yes	yes	3
illuminare	yes	no	no	3
illustrare	yes	yes	no	18
imbarcare	yes	no	yes	7
imbattere	no	no	yes	3
imboccare	yes	no	no	4
imbottire	yes	no	no	2
imbrattare	yes	no	no	2
imbrogliare	yes	no	no	3
imitare	yes	no	no	7
immaginare	yes	yes	yes	30
immatricolare	yes	no	no	2
immergere	yes	no	yes	3
immettere	yes	yes	no	5
immigrare	no	no	no	2
impacchettare	yes	no	no	5
imparare	yes	no	no	39
impartire	no	no	no	2
impazzire	no	no	no	12
impedire	yes	yes	no	51
impegnare	yes	no	yes	38
impiantare	yes	no	yes	6
impiegare	yes	yes	yes	29
impigliare	no	no	no	2
implementare	no	no	no	2
implicare	yes	no	no	12
imporre	yes	yes	yes	48
importare	yes	no	no	15
impossessare	no	yes	yes	2
impostare	yes	no	yes	7
impoverire	yes	no	yes	3
imprendere	yes	no	no	2
impressionare	yes	no	no	4
imprimere	yes	no	no	6
impugnare	yes	no	no	8
imputare	yes	no	no	5
inaugurare	yes	no	no	9
incalzare	yes	no	no	4
incantare	yes	no	no	2
incaricare	yes	no	no	6
incarnare	yes	no	no	2
incassare	yes	no	no	4
incastrare	yes	no	no	2
incazzare	no	no	yes	4
incendiare	yes	no	no	4
incentivare	yes	no	yes	4
incentrare	no	no	no	4
inchiodare	no	no	no	3
incidere	no	no	no	3
incitare	yes	no	no	4
includere	yes	no	yes	33
incominciare	no	no	yes	4
incontrare	yes	no	yes	37
incoraggiare	yes	no	no	18
incoronare	yes	no	no	2
incorporare	yes	no	yes	7
incrementare	yes	no	no	6
incrociare	yes	no	no	3
inculare	yes	no	no	3
indagare	yes	no	yes	27
indebolire	yes	no	yes	6
indennizzare	yes	no	no	3
indicare	yes	yes	yes	79
indignare	no	no	yes	3
indire	yes	no	no	9
indirizzare	yes	no	yes	10
indispettire	yes	no	no	2
individuare	yes	no	yes	22
indiziare	no	no	no	3
indossare	yes	no	no	9
indovinare	no	no	no	3
indurre	yes	no	no	14
infastidire	yes	no	no	2
inferire	no	no	no	2
infestare	yes	no	no	3
infilare	yes	no	yes	9
infiltrare	yes	no	no	3
infliggere	yes	yes	no	2
influenzare	yes	no	no	11
influire	no	no	no	2
informare	yes	yes	yes	21
ingannare	yes	no	yes	3
ingoiare	yes	no	yes	2
ingrossare	yes	no	no	2
inguaiare	yes	no	no	3
iniziare	yes	no	yes	114
innalzare	yes	no	no	6
innamorare	no	yes	yes	11
innervosire	yes	no	yes	3
innescare	yes	no	no	7
innestare	yes	no	no	2
inoltrare	no	no	yes	4
inquadrare	yes	no	yes	4
inquinare	yes	no	no	4
inquisire	no	no	no	2
insediare	yes	no	yes	5
insegnare	yes	yes	no	17
inseguire	yes	no	yes	9
inserire	yes	no	yes	24
insignire	no	no	no	3
insistere	no	no	yes	14
insorgere	no	no	no	2
installare	yes	no	no	2
instaurare	yes	no	no	5
insultare	yes	yes	yes	13
intaccare	yes	no	no	3
integrare	yes	no	yes	14
intendere	yes	yes	yes	60
intentare	yes	no	no	2
interagire	no	no	no	2
intercettare	yes	yes	no	3
interessare	yes	yes	yes	23
interferire	no	no	no	3
interpellare	yes	no	no	4
interpretare	yes	no	no	20
interrogare	yes	yes	no	7
interrompere	yes	no	yes	11
intervallare	no	no	no	2
intervenire	no	no	yes	32
intervistare	yes	no	no	7
intimorire	yes	no	no	2
intitolare	yes	no	yes	10
intrappolare	no	no	no	4
intraprendere	yes	no	no	5
intrattenere	yes	no	yes	5
intravedere	yes	no	yes	2
introdurre	yes	no	yes	30
intuire	yes	no	yes	7
invadere	yes	no	no	11
invecchiare	yes	no	no	7
inveire	no	no	no	2
inventare	yes	yes	yes	38
invertire	yes	no	no	3
investire	yes	no	no	28
inviare	yes	yes	no	28
invidiare	yes	no	no	3
invitare	yes	yes	no	24
invocare	yes	no	no	13
ipotecare	yes	no	no	2
ipotizzare	yes	no	no	3
ironizzare	no	no	no	4
irritare	yes	no	no	3
irrobustire	yes	no	no	2
iscrivere	yes	no	yes	18
isolare	yes	no	yes	5
ispirare	yes	no	yes	11
istigare	no	no	no	2
istituire	yes	no	yes	28
lacrimare	yes	no	no	2
lamentare	no	no	yes	11
lanciare	yes	no	yes	45
languire	no	no	no	2
lasciare	yes	yes	yes	119
laureare	no	no	yes	4
lavare	yes	yes	no	13
lavorare	yes	yes	yes	136
leccare	yes	yes	yes	2
legalizzare	yes	no	no	2
legare	yes	no	yes	30
leggere	yes	yes	yes	96
legittimare	no	no	no	3
levare	yes	yes	yes	7
levigare	yes	no	no	2
liberalizzare	yes	no	no	5
liberare	yes	yes	yes	45
librare	no	no	yes	2
licenziare	yes	no	no	5
limitare	yes	yes	yes	47
liquidare	no	no	no	2
litigare	yes	no	yes	10
localizzare	yes	no	no	3
locare	no	no	no	4
lodare	yes	no	no	5
logorare	no	no	yes	2
lottare	no	no	no	7
luccicare	no	no	no	2
lucidare	no	no	no	2
maledire	yes	no	no	2
mancare	yes	yes	yes	55
mandare	yes	yes	yes	49
mangiare	yes	yes	yes	43
manifestare	yes	yes	yes	22
manipolare	yes	no	no	5
mantenere	yes	yes	yes	58
marchiare	yes	no	no	2
marciare	no	no	no	6
marcire	yes	no	no	4
mascherare	no	no	no	2
massacrare	yes	no	yes	10
massimizzare	yes	no	no	2
masticare	no	no	no	2
materializzare	no	no	yes	2
maturare	yes	no	no	4
menzionare	yes	no	no	9
meravigliare	no	yes	yes	3
meritare	yes	yes	yes	21
mescolare	yes	no	no	11
mettere	yes	yes	yes	233
migliorare	yes	yes	no	51
minacciare	yes	no	no	15
mirare	no	no	no	10
misurare	yes	yes	yes	20
mobilitare	yes	no	yes	4
modellare	yes	no	no	7
moderare	yes	no	no	2
modificare	yes	no	no	27
mollare	yes	no	no	8
moltiplicare	yes	no	yes	3
monitorare	yes	no	no	4
montare	yes	no	yes	4
mordere	yes	no	yes	5
morire	yes	no	yes	176
mostrare	yes	yes	yes	37
motivare	yes	no	yes	6
mozzare	yes	yes	no	2
multare	yes	no	no	3
munire	no	no	no	5
muovere	yes	no	yes	29
mutare	yes	no	yes	7
narrare	no	no	no	2
nascere	yes	yes	no	156
nascondere	yes	yes	yes	30
natare	yes	no	no	13
navigare	no	no	no	3
necessitare	no	no	no	8
negare	yes	no	yes	14
negoziare	yes	no	no	4
nevicare	no	no	no	5
nominare	yes	no	yes	67
notare	yes	no	yes	14
notificare	yes	yes	no	10
nuocere	no	no	no	4
nuotare	no	no	no	5
nutrire	yes	yes	yes	8
obbligare	yes	no	yes	25
occorrere	yes	yes	no	37
occultare	yes	no	no	2
occupare	yes	yes	yes	55
odiare	yes	yes	no	25
offendere	yes	no	yes	10
offrire	yes	yes	yes	55
offuscare	no	no	yes	2
omettere	yes	no	no	3
onorare	yes	no	no	5
operare	yes	no	yes	20
opporre	yes	yes	yes	24
optare	no	no	no	3
ordinare	yes	yes	yes	24
organizzare	yes	no	yes	38
orientare	yes	no	no	3
osare	yes	no	no	7
oscillare	no	no	no	7
oscurare	yes	no	no	3
ospitare	yes	no	no	15
osservare	yes	yes	yes	72
ossigenare	yes	no	no	4
ostacolare	yes	no	yes	6
ostare	no	no	no	2
osteggiare	yes	no	no	3
ottemperare	no	no	no	4
ottenere	yes	yes	yes	95
ottimizzare	yes	no	no	3
ovviare	no	no	no	2
pagare	yes	yes	yes	143
pappare	yes	no	yes	2
parafrasare	yes	no	no	2
paragonare	yes	yes	yes	10
paralizzare	yes	no	no	4
pareggiare	yes	no	no	2
parere	yes	yes	no	48
parlare	yes	yes	yes	239
partecipare	yes	yes	no	90
partire	yes	no	yes	85
passare	yes	yes	yes	107
passire	yes	yes	yes	14
patire	yes	no	no	3
patteggiare	yes	no	no	2
pedalare	no	no	yes	3
peggiorare	yes	no	no	8
penalizzare	yes	no	no	3
penetrare	yes	no	no	6
pensare	yes	yes	yes	198
pentire	no	no	yes	2
percepire	no	no	no	6
percorrere	yes	no	no	19
perculare	yes	no	no	2
perdere	yes	yes	yes	100
perdurare	no	no	no	2
perire	no	no	no	12
permettere	yes	yes	yes	86
perseguire	yes	no	no	9
perseguitare	yes	no	no	4
persistere	no	no	no	2
personalizzare	yes	no	no	2
pervadere	yes	no	no	4
pervenire	yes	yes	no	3
pesare	yes	no	yes	14
